Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
02-AUG-2024,NETWEB,Netweb Tech India Ltd,UNION MUTUAL FUND,BUY,62730,2232.10
02-AUG-2024,NETWEB,Netweb Tech India Ltd,SOCIETE GENERALE,BUY,273975,2232.10
02-AUG-2024,NETWEB,Netweb Tech India Ltd,ICICI PRUDENTIAL MUTUAL FUND,BUY,1075230,2232.10
02-AUG-2024,NETWEB,Netweb Tech India Ltd,INVESCO MUTUAL FUND,BUY,44810,2232.10
02-AUG-2024,NETWEB,Netweb Tech India Ltd,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED - ODI,BUY,448010,2232.10
02-AUG-2024,NETWEB,Netweb Tech India Ltd,DISCOVERY GLOBAL OPPORTUNITY MAURITIUS LIMITED,BUY,150040,2232.10
02-AUG-2024,NETWEB,Netweb Tech India Ltd,SANJAY  LODHA,SELL,821918,2232.10
02-AUG-2024,NETWEB,Netweb Tech India Ltd,NIRAJ  LODHA,SELL,410959,2232.10
02-AUG-2024,NETWEB,Netweb Tech India Ltd,VIVEK  LODHA,SELL,410959,2232.10
02-AUG-2024,NETWEB,Netweb Tech India Ltd,NAVIN  LODHA,SELL,410959,2232.10
