Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
29-AUG-2024,JLHL,Jupiter Life Line Hosp L,THINK INDIA OPPORTUNITIES MASTER FUND LP,BUY,200000,1310.00
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,TRADE CORNER,BUY,850000,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,WINRO COMMERCIAL INDIA LIMITED,BUY,1500000,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,SAHASTRAA ADVISORS PRIVATE LIMITED,BUY,3500000,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,SBI LIFE INSURANCE COMPANY LTD,BUY,9747063,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,BUY,5593052,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,COPTHALL MAURITIUS INVESTMENT LIMITED,BUY,10912547,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,GHISALLO MASTER FUND LP,BUY,974706,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,INDUS INDIA FUND MAURITIUS LIMITED,BUY,511720,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,BUY,2046081,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,TARA EMERGING ASIA LIQUID FUND,BUY,516594,205.21
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,ADITYA BIRLA SUN LIFE MUTUAL FUND,BUY,1929943,205.21
29-AUG-2024,JLHL,Jupiter Life Line Hosp L,RAGHAVAN  VADAPATRA SAYEE,SELL,100000,1310.00
29-AUG-2024,JLHL,Jupiter Life Line Hosp L,BRINDHA RAGHAVAN,SELL,100000,1310.00
29-AUG-2024,WELSPUNLIV,Welspun Living Limited,WELSPUN GROUP MASTER TRUST,SELL,38081706,205.21
